,buying_high,buying_low,buying_med,buying_vhigh,maintenance_high,maintenance_low,maintenance_med,maintenance_vhigh,doors_2,doors_3,doors_4,doors_5more,persons_2,persons_4,persons_more,luggage_space_big,luggage_space_med,luggage_space_small,safety_high,safety_low,safety_med
0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0
2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
6,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
7,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
8,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
9,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
10,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
11,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
12,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
13,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
14,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
15,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
16,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
17,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
19,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
20,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
21,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
22,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
23,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
24,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
25,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
26,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
27,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
28,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
29,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
30,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
31,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
32,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
33,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
34,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
35,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
36,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
37,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
38,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
39,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
40,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
41,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
42,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
43,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
44,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
45,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
46,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
47,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
48,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
49,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
50,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
51,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
