,persons_2,persons_4,persons_more,safety_high,safety_low,safety_med
0,1,0,0,0,0,1
1,1,0,0,1,0,0
2,1,0,0,0,1,0
3,1,0,0,0,0,1
4,1,0,0,1,0,0
5,1,0,0,0,1,0
6,1,0,0,0,0,1
7,1,0,0,1,0,0
8,0,1,0,0,1,0
9,0,1,0,0,0,1
10,0,1,0,1,0,0
11,0,1,0,0,1,0
12,0,1,0,0,0,1
13,0,1,0,1,0,0
14,0,1,0,0,1,0
15,0,1,0,0,0,1
16,0,1,0,1,0,0
17,0,0,1,0,1,0
18,0,0,1,0,0,1
19,0,0,1,1,0,0
20,0,0,1,0,1,0
21,0,0,1,0,0,1
22,0,0,1,1,0,0
23,0,0,1,0,1,0
24,0,0,1,0,0,1
25,0,0,1,1,0,0
26,1,0,0,0,1,0
27,1,0,0,0,0,1
28,1,0,0,1,0,0
29,1,0,0,0,1,0
30,1,0,0,0,0,1
31,1,0,0,1,0,0
32,1,0,0,0,1,0
33,1,0,0,0,0,1
34,1,0,0,1,0,0
35,0,1,0,0,1,0
36,0,1,0,0,0,1
37,0,1,0,1,0,0
38,0,1,0,0,1,0
39,0,1,0,0,0,1
40,0,1,0,1,0,0
41,0,1,0,0,1,0
42,0,1,0,0,0,1
43,0,1,0,1,0,0
44,0,0,1,0,1,0
45,0,0,1,0,0,1
46,0,0,1,1,0,0
47,0,0,1,0,1,0
48,0,0,1,0,0,1
49,0,0,1,1,0,0
50,0,0,1,0,1,0
51,0,0,1,0,0,1
52,0,0,1,1,0,0
53,1,0,0,0,1,0
54,1,0,0,0,0,1
55,1,0,0,1,0,0
56,1,0,0,0,1,0
57,1,0,0,0,0,1
58,1,0,0,1,0,0
59,1,0,0,0,1,0
60,1,0,0,0,0,1
61,1,0,0,1,0,0
62,0,1,0,0,1,0
63,0,1,0,0,0,1
64,0,1,0,1,0,0
65,0,1,0,0,1,0
66,0,1,0,0,0,1
67,0,1,0,1,0,0
68,0,1,0,0,1,0
69,0,1,0,0,0,1
70,0,1,0,1,0,0
71,0,0,1,0,1,0
72,0,0,1,0,0,1
73,0,0,1,1,0,0
74,0,0,1,0,1,0
75,0,0,1,0,0,1
76,0,0,1,1,0,0
77,0,0,1,0,1,0
78,0,0,1,0,0,1
79,0,0,1,1,0,0
80,1,0,0,0,1,0
81,1,0,0,0,0,1
82,1,0,0,1,0,0
83,1,0,0,0,1,0
84,1,0,0,0,0,1
85,1,0,0,1,0,0
86,1,0,0,0,1,0
87,1,0,0,0,0,1
88,1,0,0,1,0,0
89,0,1,0,0,1,0
90,0,1,0,0,0,1
91,0,1,0,1,0,0
92,0,1,0,0,1,0
93,0,1,0,0,0,1
94,0,1,0,1,0,0
95,0,1,0,0,1,0
96,0,1,0,0,0,1
97,0,1,0,1,0,0
98,0,0,1,0,1,0
99,0,0,1,0,0,1
100,0,0,1,1,0,0
101,0,0,1,0,1,0
102,0,0,1,0,0,1
103,0,0,1,1,0,0
104,0,0,1,0,1,0
105,0,0,1,0,0,1
106,0,0,1,1,0,0
107,1,0,0,0,1,0
108,1,0,0,0,0,1
109,1,0,0,1,0,0
110,1,0,0,0,1,0
111,1,0,0,0,0,1
112,1,0,0,1,0,0
113,1,0,0,0,1,0
114,1,0,0,0,0,1
115,1,0,0,1,0,0
116,0,1,0,0,1,0
117,0,1,0,0,0,1
118,0,1,0,1,0,0
119,0,1,0,0,1,0
120,0,1,0,0,0,1
121,0,1,0,1,0,0
122,0,1,0,0,1,0
123,0,1,0,0,0,1
124,0,1,0,1,0,0
125,0,0,1,0,1,0
126,0,0,1,0,0,1
127,0,0,1,1,0,0
128,0,0,1,0,1,0
129,0,0,1,0,0,1
130,0,0,1,1,0,0
131,0,0,1,0,1,0
132,0,0,1,0,0,1
133,0,0,1,1,0,0
134,1,0,0,0,1,0
135,1,0,0,0,0,1
136,1,0,0,1,0,0
137,1,0,0,0,1,0
138,1,0,0,0,0,1
139,1,0,0,1,0,0
140,1,0,0,0,1,0
141,1,0,0,0,0,1
142,1,0,0,1,0,0
143,0,1,0,0,1,0
144,0,1,0,0,0,1
145,0,1,0,1,0,0
146,0,1,0,0,1,0
147,0,1,0,0,0,1
148,0,1,0,1,0,0
149,0,1,0,0,1,0
150,0,1,0,0,0,1
151,0,1,0,1,0,0
152,0,0,1,0,1,0
153,0,0,1,0,0,1
154,0,0,1,1,0,0
155,0,0,1,0,1,0
156,0,0,1,0,0,1
157,0,0,1,1,0,0
158,0,0,1,0,1,0
159,0,0,1,0,0,1
160,0,0,1,1,0,0
161,1,0,0,0,1,0
162,1,0,0,0,0,1
163,1,0,0,1,0,0
164,1,0,0,0,1,0
165,1,0,0,0,0,1
166,1,0,0,1,0,0
167,1,0,0,0,1,0
168,1,0,0,0,0,1
169,1,0,0,1,0,0
170,0,1,0,0,1,0
171,0,1,0,0,0,1
172,0,1,0,1,0,0
173,0,1,0,0,1,0
174,0,1,0,0,0,1
175,0,1,0,1,0,0
176,0,1,0,0,1,0
177,0,1,0,0,0,1
178,0,1,0,1,0,0
179,0,0,1,0,1,0
180,0,0,1,0,0,1
181,0,0,1,1,0,0
182,0,0,1,0,1,0
183,0,0,1,0,0,1
184,0,0,1,1,0,0
185,0,0,1,0,1,0
186,0,0,1,0,0,1
187,0,0,1,1,0,0
188,1,0,0,0,1,0
189,1,0,0,0,0,1
190,1,0,0,1,0,0
191,1,0,0,0,1,0
192,1,0,0,0,0,1
193,1,0,0,1,0,0
194,1,0,0,0,1,0
195,1,0,0,0,0,1
196,1,0,0,1,0,0
197,0,1,0,0,1,0
198,0,1,0,0,0,1
199,0,1,0,1,0,0
200,0,1,0,0,1,0
201,0,1,0,0,0,1
202,0,1,0,1,0,0
203,0,1,0,0,1,0
204,0,1,0,0,0,1
205,0,1,0,1,0,0
206,0,0,1,0,1,0
207,0,0,1,0,0,1
208,0,0,1,1,0,0
209,0,0,1,0,1,0
210,0,0,1,0,0,1
211,0,0,1,1,0,0
212,0,0,1,0,1,0
213,0,0,1,0,0,1
214,0,0,1,1,0,0
215,1,0,0,0,1,0
216,1,0,0,0,0,1
217,1,0,0,1,0,0
218,1,0,0,0,1,0
219,1,0,0,0,0,1
220,1,0,0,1,0,0
221,1,0,0,0,1,0
222,1,0,0,0,0,1
223,1,0,0,1,0,0
224,0,1,0,0,1,0
225,0,1,0,0,0,1
226,0,1,0,1,0,0
227,0,1,0,0,1,0
228,0,1,0,0,0,1
229,0,1,0,1,0,0
230,0,1,0,0,1,0
231,0,1,0,0,0,1
232,0,1,0,1,0,0
233,0,0,1,0,1,0
234,0,0,1,0,0,1
235,0,0,1,1,0,0
236,0,0,1,0,1,0
237,0,0,1,0,0,1
238,0,0,1,1,0,0
239,0,0,1,0,1,0
240,0,0,1,0,0,1
241,0,0,1,1,0,0
242,1,0,0,0,1,0
243,1,0,0,0,0,1
244,1,0,0,1,0,0
245,1,0,0,0,1,0
246,1,0,0,0,0,1
247,1,0,0,1,0,0
248,1,0,0,0,1,0
249,1,0,0,0,0,1
250,1,0,0,1,0,0
251,0,1,0,0,1,0
252,0,1,0,0,0,1
253,0,1,0,1,0,0
254,0,1,0,0,1,0
255,0,1,0,0,0,1
256,0,1,0,1,0,0
257,0,1,0,0,1,0
258,0,1,0,0,0,1
259,0,1,0,1,0,0
260,0,0,1,0,1,0
261,0,0,1,0,0,1
262,0,0,1,1,0,0
263,0,0,1,0,1,0
264,0,0,1,0,0,1
265,0,0,1,1,0,0
266,0,0,1,0,1,0
267,0,0,1,0,0,1
268,0,0,1,1,0,0
269,1,0,0,0,1,0
270,1,0,0,0,0,1
271,1,0,0,1,0,0
272,1,0,0,0,1,0
273,1,0,0,0,0,1
274,1,0,0,1,0,0
275,1,0,0,0,1,0
276,1,0,0,0,0,1
277,1,0,0,1,0,0
278,0,1,0,0,1,0
279,0,1,0,0,0,1
280,0,1,0,1,0,0
281,0,1,0,0,1,0
282,0,1,0,0,0,1
283,0,1,0,1,0,0
284,0,1,0,0,1,0
285,0,1,0,0,0,1
286,0,1,0,1,0,0
287,0,0,1,0,1,0
288,0,0,1,0,0,1
289,0,0,1,1,0,0
290,0,0,1,0,1,0
291,0,0,1,0,0,1
292,0,0,1,1,0,0
293,0,0,1,0,1,0
294,0,0,1,0,0,1
295,0,0,1,1,0,0
296,1,0,0,0,1,0
297,1,0,0,0,0,1
298,1,0,0,1,0,0
299,1,0,0,0,1,0
300,1,0,0,0,0,1
301,1,0,0,1,0,0
302,1,0,0,0,1,0
303,1,0,0,0,0,1
304,1,0,0,1,0,0
305,0,1,0,0,1,0
306,0,1,0,0,0,1
307,0,1,0,1,0,0
308,0,1,0,0,1,0
309,0,1,0,0,0,1
310,0,1,0,1,0,0
311,0,1,0,0,1,0
312,0,1,0,0,0,1
313,0,1,0,1,0,0
314,0,0,1,0,1,0
315,0,0,1,0,0,1
316,0,0,1,1,0,0
317,0,0,1,0,1,0
318,0,0,1,0,0,1
319,0,0,1,1,0,0
320,0,0,1,0,1,0
321,0,0,1,0,0,1
322,0,0,1,1,0,0
323,1,0,0,0,1,0
324,1,0,0,0,0,1
325,1,0,0,1,0,0
326,1,0,0,0,1,0
327,1,0,0,0,0,1
328,1,0,0,1,0,0
329,1,0,0,0,1,0
330,1,0,0,0,0,1
331,1,0,0,1,0,0
332,0,1,0,0,1,0
333,0,1,0,0,0,1
334,0,1,0,1,0,0
335,0,1,0,0,1,0
336,0,1,0,0,0,1
337,0,1,0,1,0,0
338,0,1,0,0,1,0
339,0,1,0,0,0,1
340,0,1,0,1,0,0
341,0,0,1,0,1,0
342,0,0,1,0,0,1
343,0,0,1,1,0,0
344,0,0,1,0,1,0
345,0,0,1,0,0,1
346,0,0,1,1,0,0
347,0,0,1,0,1,0
348,0,0,1,0,0,1
349,0,0,1,1,0,0
350,1,0,0,0,1,0
351,1,0,0,0,0,1
352,1,0,0,1,0,0
353,1,0,0,0,1,0
354,1,0,0,0,0,1
355,1,0,0,1,0,0
356,1,0,0,0,1,0
357,1,0,0,0,0,1
358,1,0,0,1,0,0
359,0,1,0,0,1,0
360,0,1,0,0,0,1
361,0,1,0,1,0,0
362,0,1,0,0,1,0
363,0,1,0,0,0,1
364,0,1,0,1,0,0
365,0,1,0,0,1,0
366,0,1,0,0,0,1
367,0,1,0,1,0,0
368,0,0,1,0,1,0
369,0,0,1,0,0,1
370,0,0,1,1,0,0
371,0,0,1,0,1,0
372,0,0,1,0,0,1
373,0,0,1,1,0,0
374,0,0,1,0,1,0
375,0,0,1,0,0,1
376,0,0,1,1,0,0
377,1,0,0,0,1,0
378,1,0,0,0,0,1
379,1,0,0,1,0,0
380,1,0,0,0,1,0
381,1,0,0,0,0,1
382,1,0,0,1,0,0
383,1,0,0,0,1,0
384,1,0,0,0,0,1
385,1,0,0,1,0,0
386,0,1,0,0,1,0
387,0,1,0,0,0,1
388,0,1,0,1,0,0
389,0,1,0,0,1,0
390,0,1,0,0,0,1
391,0,1,0,1,0,0
392,0,1,0,0,1,0
393,0,1,0,0,0,1
394,0,1,0,1,0,0
395,0,0,1,0,1,0
396,0,0,1,0,0,1
397,0,0,1,1,0,0
398,0,0,1,0,1,0
399,0,0,1,0,0,1
400,0,0,1,1,0,0
401,0,0,1,0,1,0
402,0,0,1,0,0,1
403,0,0,1,1,0,0
404,1,0,0,0,1,0
405,1,0,0,0,0,1
406,1,0,0,1,0,0
407,1,0,0,0,1,0
408,1,0,0,0,0,1
409,1,0,0,1,0,0
410,1,0,0,0,1,0
411,1,0,0,0,0,1
412,1,0,0,1,0,0
413,0,1,0,0,1,0
414,0,1,0,0,0,1
415,0,1,0,1,0,0
416,0,1,0,0,1,0
417,0,1,0,0,0,1
418,0,1,0,1,0,0
419,0,1,0,0,1,0
420,0,1,0,0,0,1
421,0,1,0,1,0,0
422,0,0,1,0,1,0
423,0,0,1,0,0,1
424,0,0,1,1,0,0
425,0,0,1,0,1,0
426,0,0,1,0,0,1
427,0,0,1,1,0,0
428,0,0,1,0,1,0
429,0,0,1,0,0,1
430,0,0,1,1,0,0
431,1,0,0,0,1,0
432,1,0,0,0,0,1
433,1,0,0,1,0,0
434,1,0,0,0,1,0
435,1,0,0,0,0,1
436,1,0,0,1,0,0
437,1,0,0,0,1,0
438,1,0,0,0,0,1
439,1,0,0,1,0,0
440,0,1,0,0,1,0
441,0,1,0,0,0,1
442,0,1,0,1,0,0
443,0,1,0,0,1,0
444,0,1,0,0,0,1
445,0,1,0,1,0,0
446,0,1,0,0,1,0
447,0,1,0,0,0,1
448,0,1,0,1,0,0
449,0,0,1,0,1,0
450,0,0,1,0,0,1
451,0,0,1,1,0,0
452,0,0,1,0,1,0
453,0,0,1,0,0,1
454,0,0,1,1,0,0
455,0,0,1,0,1,0
456,0,0,1,0,0,1
457,0,0,1,1,0,0
458,1,0,0,0,1,0
459,1,0,0,0,0,1
460,1,0,0,1,0,0
461,1,0,0,0,1,0
462,1,0,0,0,0,1
463,1,0,0,1,0,0
464,1,0,0,0,1,0
465,1,0,0,0,0,1
466,1,0,0,1,0,0
467,0,1,0,0,1,0
468,0,1,0,0,0,1
469,0,1,0,1,0,0
470,0,1,0,0,1,0
471,0,1,0,0,0,1
472,0,1,0,1,0,0
473,0,1,0,0,1,0
474,0,1,0,0,0,1
475,0,1,0,1,0,0
476,0,0,1,0,1,0
477,0,0,1,0,0,1
478,0,0,1,1,0,0
479,0,0,1,0,1,0
480,0,0,1,0,0,1
481,0,0,1,1,0,0
482,0,0,1,0,1,0
483,0,0,1,0,0,1
484,0,0,1,1,0,0
485,1,0,0,0,1,0
486,1,0,0,0,0,1
487,1,0,0,1,0,0
488,1,0,0,0,1,0
489,1,0,0,0,0,1
490,1,0,0,1,0,0
491,1,0,0,0,1,0
492,1,0,0,0,0,1
493,1,0,0,1,0,0
494,0,1,0,0,1,0
495,0,1,0,0,0,1
496,0,1,0,1,0,0
497,0,1,0,0,1,0
498,0,1,0,0,0,1
499,0,1,0,1,0,0
500,0,1,0,0,1,0
501,0,1,0,0,0,1
502,0,1,0,1,0,0
503,0,0,1,0,1,0
504,0,0,1,0,0,1
505,0,0,1,1,0,0
506,0,0,1,0,1,0
507,0,0,1,0,0,1
508,0,0,1,1,0,0
509,0,0,1,0,1,0
510,0,0,1,0,0,1
511,0,0,1,1,0,0
512,1,0,0,0,1,0
513,1,0,0,0,0,1
514,1,0,0,1,0,0
515,1,0,0,0,1,0
516,1,0,0,0,0,1
517,1,0,0,1,0,0
518,1,0,0,0,1,0
519,1,0,0,0,0,1
520,1,0,0,1,0,0
521,0,1,0,0,1,0
522,0,1,0,0,0,1
523,0,1,0,1,0,0
524,0,1,0,0,1,0
525,0,1,0,0,0,1
526,0,1,0,1,0,0
527,0,1,0,0,1,0
528,0,1,0,0,0,1
529,0,1,0,1,0,0
530,0,0,1,0,1,0
531,0,0,1,0,0,1
532,0,0,1,1,0,0
533,0,0,1,0,1,0
534,0,0,1,0,0,1
535,0,0,1,1,0,0
536,0,0,1,0,1,0
537,0,0,1,0,0,1
538,0,0,1,1,0,0
539,1,0,0,0,1,0
540,1,0,0,0,0,1
541,1,0,0,1,0,0
542,1,0,0,0,1,0
